"Country or Area","Year","Value"
"Australia","2015","100895.025344448"
"Australia","2014","100911.251450447"
"Australia","2013","102870.34302422"
"Australia","2012","103957.648974407"
"Australia","2011","104757.702582745"
"Australia","2010","102429.961982237"
"Australia","2009","104408.217927981"
"Australia","2008","105059.973870918"
"Australia","2007","107015.468526665"
"Australia","2006","107327.112250931"
"Australia","2005","107931.311807135"
"Australia","2004","106244.280116815"
"Australia","2003","104236.537119172"
"Australia","2002","109496.075452866"
"Australia","2001","111365.438973988"
"Australia","2000","112817.556673418"
"Australia","1999","109358.034236735"
"Australia","1998","113423.965885611"
"Australia","1997","114504.609578689"
"Australia","1996","111636.818671135"
"Australia","1995","111415.282561834"
"Australia","1994","112835.161161009"
"Australia","1993","116141.162111967"
"Australia","1992","119521.882123086"
"Australia","1991","119903.357596241"
"Australia","1990","119920.32477149"
"Austria","2015","6574.9644822194"
"Austria","2014","6649.73444268002"
"Austria","2013","6787.91013630411"
"Austria","2012","6883.49008809661"
"Austria","2011","7000.08653730307"
"Austria","2010","7210.77205105783"
"Austria","2009","7312.93318387412"
"Austria","2008","7409.83004538959"
"Austria","2007","7547.24004987591"
"Austria","2006","7673.99465480052"
"Austria","2005","7808.39124711095"
"Austria","2004","8049.86402750537"
"Austria","2003","8055.65458690721"
"Austria","2002","8125.42162203214"
"Austria","2001","8278.1041074261"
"Austria","2000","8447.34661099261"
"Austria","1999","8627.57358172911"
"Austria","1998","8803.09832416698"
"Austria","1997","8981.45017069079"
"Austria","1996","9358.21265229921"
"Austria","1995","9639.50159240699"
"Austria","1994","9728.82634280617"
"Austria","1993","10023.8324753374"
"Austria","1992","10121.8752762822"
"Austria","1991","10415.3920140594"
"Austria","1990","10514.1970713454"
"Belarus","2015","19063.7337441474"
"Belarus","2014","18485.3004370914"
"Belarus","2013","18532.1936848669"
"Belarus","2012","17926.7302906224"
"Belarus","2011","17670.6734706942"
"Belarus","2010","17888.0592186421"
"Belarus","2009","17222.9318629791"
"Belarus","2008","17279.3645077762"
"Belarus","2007","16946.3988370723"
"Belarus","2006","16372.1710215554"
"Belarus","2005","15864.2644731183"
"Belarus","2004","16104.485177195"
"Belarus","2003","15249.0415243618"
"Belarus","2002","14971.0404812114"
"Belarus","2001","15051.6600602738"
"Belarus","2000","15162.1448386184"
"Belarus","1999","15381.4430194972"
"Belarus","1998","15725.1108693737"
"Belarus","1997","15754.1818004849"
"Belarus","1996","15652.6795598858"
"Belarus","1995","15530.2713697921"
"Belarus","1994","16303.1853696684"
"Belarus","1993","17144.4400569393"
"Belarus","1992","18101.6041337672"
"Belarus","1991","18864.1589866926"
"Belarus","1990","19704.280249376"
"Belgium","2015","8074.05199949607"
"Belgium","2014","8147.10891493053"
"Belgium","2013","8228.24788517587"
"Belgium","2012","8367.43377529454"
"Belgium","2011","8500.04967859825"
"Belgium","2010","8758.23052690022"
"Belgium","2009","8808.94687249466"
"Belgium","2008","8876.19149880919"
"Belgium","2007","9086.93924061653"
"Belgium","2006","9134.97373141808"
"Belgium","2005","9229.83999521631"
"Belgium","2004","9473.73532476729"
"Belgium","2003","9529.09919296651"
"Belgium","2002","10114.5615063784"
