"Country or Area","Year","Value"
"Australia","2015","11482.7423436096"
"Australia","2014","10787.3510157048"
"Australia","2013","10034.1276066137"
"Australia","2012","9353.06636948871"
"Australia","2011","8837.85056267926"
"Australia","2010","8166.06724391971"
"Australia","2009","7468.94410564859"
"Australia","2008","6832.22674546237"
"Australia","2007","6143.73477685129"
"Australia","2006","5456.5206707597"
"Australia","2005","5002.48272189515"
"Australia","2004","4266.92125360524"
"Australia","2003","3578.35150974547"
"Australia","2002","2926.73045682085"
"Australia","2001","2305.92896404507"
"Australia","2000","1613.2007121981"
"Australia","1999","1374.29310959569"
"Australia","1998","998.289579795631"
"Australia","1997","705.228318135053"
"Australia","1996","414.17063782292"
"Australia","1995","1004.03211082861"
"Australia","1994","1027.34354927313"
"Australia","1993","1829.872"
"Australia","1992","1333.184"
"Australia","1991","1424.68352"
"Australia","1990","1424.68352"
"Austria","2015","1662.04259093734"
"Austria","2014","1643.1869987675"
"Austria","2013","1602.88186484061"
"Austria","2012","1612.7515705449"
"Austria","2011","1536.08617538863"
"Austria","2010","1483.45386249073"
"Austria","2009","1308.77418572207"
"Austria","2008","1248.53225138254"
"Austria","2007","1195.8903761885"
"Austria","2006","1152.466320532"
"Austria","2005","1145.80966192964"
"Austria","2004","1158.34359221291"
"Austria","2003","1072.19181375814"
"Austria","2002","968.776915917423"
"Austria","2001","863.101238986877"
"Austria","2000","713.626554045867"
"Austria","1999","700.924890690691"
"Austria","1998","608.546964889657"
"Austria","1997","498.139986694405"
"Austria","1996","417.201579590825"
"Austria","1995","353.45085312042"
"Austria","1994","261.105590625578"
"Austria","1993","235.26478656483"
"Austria","1992","5.63648639172312"
"Austria","1991","3.88944"
"Austria","1990","2.43756"
"Belgium","2015","2786.85219075125"
"Belgium","2014","2835.17338643928"
"Belgium","2013","2716.17742742503"
"Belgium","2012","2741.75274828654"
"Belgium","2011","2619.52520069948"
"Belgium","2010","2511.7188462087"
"Belgium","2009","2393.8063584054"
"Belgium","2008","2209.06704271191"
"Belgium","2007","2081.20483134399"
"Belgium","2006","1878.79563900335"
"Belgium","2005","1747.36464573697"
"Belgium","2004","1695.42150416119"
"Belgium","2003","1610.79220849296"
"Belgium","2002","1440.36001744686"
"Belgium","2001","1213.52591081135"
"Belgium","2000","1130.20863062911"
"Belgium","1999","936.921762589008"
"Belgium","1998","882.605735089056"
"Belgium","1997","727.29334576802"
"Belgium","1996","602.361397558982"
"Belgium","1995","502.005282616457"
"Belgium","1994","495.791439320528"
"Belgium","1993","484.299975812368"
"Belgium","1992","484.299975812368"
"Bulgaria","2015","1152.16625237006"
"Bulgaria","2014","1084.49830072389"
"Bulgaria","2013","968.375035837374"
"Bulgaria","2012","823.142118615631"
"Bulgaria","2011","752.68182263632"
"Bulgaria","2010","663.046051551738"
"Bulgaria","2009","639.113284107228"
"Bulgaria","2008","625.89211168682"
"Bulgaria","2007","385.794825050179"
