"Country or Area","Year","Value"
"Australia","2015","18442.6026794019"
"Australia","2014","20199.3210894701"
"Australia","2013","19807.5852409747"
"Australia","2012","20385.0970827997"
"Australia","2011","20248.8519244454"
"Australia","2010","19348.1520889093"
"Australia","2009","19250.1216613685"
"Australia","2008","18836.0427513306"
"Australia","2007","19338.7815637764"
"Australia","2006","20194.4952276428"
"Australia","2005","20537.9035476887"
"Australia","2004","20203.582771526"
"Australia","2003","18962.941379861"
"Australia","2002","19735.7893726246"
"Australia","2001","19233.0499346704"
"Australia","2000","18949.3101713018"
"Australia","1999","18110.0712977616"
"Australia","1998","17580.291632381"
"Australia","1997","17234.3629280964"
"Australia","1996","16535.4245435496"
"Australia","1995","15870.5262285405"
"Australia","1994","15836.190464036"
"Australia","1993","15346.4779947192"
"Australia","1992","15275.6161175829"
"Australia","1991","14952.0983599366"
"Australia","1990","15327.325214655"
"Austria","2015","3517.27188094088"
"Austria","2014","3507.4918314681"
"Austria","2013","3439.50651216948"
"Austria","2012","3449.43349734563"
"Austria","2011","3488.98522613339"
"Austria","2010","3399.34501325849"
"Austria","2009","3599.1295814513"
"Austria","2008","3824.42368945005"
"Austria","2007","3644.21055755336"
"Austria","2006","3629.60552801835"
"Austria","2005","3633.13098437753"
"Austria","2004","3632.9874828221"
"Austria","2003","4221.1939236173"
"Austria","2002","4231.96422106629"
"Austria","2001","4230.2716100149"
"Austria","2000","4354.04806030588"
"Austria","1999","4376.78626528406"
"Austria","1998","4388.31431985427"
"Austria","1997","4341.33389958355"
"Austria","1996","4316.71370503605"
"Austria","1995","4425.43593771702"
"Austria","1994","4322.32923504404"
"Austria","1993","4112.5614632564"
"Austria","1992","4198.11388625445"
"Austria","1991","4504.37537078175"
"Austria","1990","4341.64566097784"
"Belarus","2015","13517.4045121871"
"Belarus","2014","13856.2606637247"
"Belarus","2013","14098.968484367"
"Belarus","2012","14165.3880095938"
"Belarus","2011","14465.9184165632"
"Belarus","2010","13692.2447825122"
"Belarus","2009","13822.4235232548"
"Belarus","2008","13528.978855262"
"Belarus","2007","12805.2077540113"
"Belarus","2006","12911.8567036327"
"Belarus","2005","12200.9381573528"
"Belarus","2004","11801.6974260059"
"Belarus","2003","11394.5748868068"
"Belarus","2002","10797.2528198575"
"Belarus","2001","12090.4151663899"
"Belarus","2000","12169.7334840335"
"Belarus","1999","12028.2609296293"
"Belarus","1998","12974.78742174"
"Belarus","1997","12609.978263246"
"Belarus","1996","12216.8328081619"
"Belarus","1995","11376.9627302819"
"Belarus","1994","12202.1231600052"
"Belarus","1993","14583.8472285361"
"Belarus","1992","14359.0965215702"
"Belarus","1991","16109.5696292495"
"Belarus","1990","16547.6268779049"
"Belgium","2015","5965.7822636981"
"Belgium","2014","6154.01334644361"
"Belgium","2013","6139.57383584587"
"Belgium","2012","6331.91711513996"
"Belgium","2011","6414.0620013234"
"Belgium","2010","7606.42848214252"
"Belgium","2009","7090.22016891098"
"Belgium","2008","6958.68624873765"
"Belgium","2007","6977.41060681938"
"Belgium","2006","7482.00181333431"
"Belgium","2005","8464.24247766408"
"Belgium","2004","8731.67517118748"
"Belgium","2003","8595.32881882063"
"Belgium","2002","9495.29747350851"
"Belgium","2001","9848.70633295744"
"Belgium","2000","10245.9451736726"
"Belgium","1999","10975.9430765915"
"Belgium","1998","10965.145006498"
"Belgium","1997","11095.535240329"
"Belgium","1996","11336.4427958894"
"Belgium","1995","10906.9135767664"
"Belgium","1994","10431.6044334036"
"Belgium","1993","10017.8520649106"
"Belgium","1992","9747.34929349642"
"Belgium","1991","9996.73338051133"
"Belgium","1990","10138.8236655115"
"Bulgaria","2015","4704.31994929797"
"Bulgaria","2014","3828.26240579526"
"Bulgaria","2013","4250.71648616468"
"Bulgaria","2012","3853.2934709695"
"Bulgaria","2011","3783.55934037789"
"Bulgaria","2010","4128.82240739299"
"Bulgaria","2009","3648.80600242831"
"Bulgaria","2008","4055.5748674163"
"Bulgaria","2007","3815.15116368505"
"Bulgaria","2006","3771.96351091434"
"Bulgaria","2005","4243.2902318707"
"Bulgaria","2004","4397.87599652785"
"Bulgaria","2003","3854.74579492837"
"Bulgaria","2002","4020.01977233414"
"Bulgaria","2001","4080.98223454443"
"Bulgaria","2000","4007.2461774033"
"Bulgaria","1999","3945.40834378975"
"Bulgaria","1998","3785.98689698547"
"Bulgaria","1997","4591.49416708988"
"Bulgaria","1996","4848.51830695574"
"Bulgaria","1995","4979.29104175374"
"Bulgaria","1994","5108.4507635406"
"Bulgaria","1993","5224.23299858325"
"Bulgaria","1992","5776.52982781395"
"Bulgaria","1991","6841.81212219147"
"Bulgaria","1990","8820.35581361097"
"Canada","2015","38901.2147753952"
"Canada","2014","38137.9283552233"
"Canada","2013","39552.5005300088"
"Canada","2012","37768.8634770635"
"Canada","2011","36769.5647458472"
"Canada","2010","37293.1176587223"
"Canada","2009","37483.6411137198"
"Canada","2008","41185.9265908911"
"Canada","2007","39406.1362929921"
"Canada","2006","38612.2833242326"
"Canada","2005","40697.0435933785"
"Canada","2004","42019.5924537633"
"Canada","2003","39736.2783370349"
"Canada","2002","37868.9846194374"
"Canada","2001","38143.262449467"
"Canada","2000","39544.5072524628"
"Canada","1999","40004.9778940034"
"Canada","1998","42355.8979686032"
"Canada","1997","46509.1018699311"
"Canada","1996","47852.4641266449"
"Canada","1995","45702.0851112269"
"Canada","1994","45123.817628292"
"Canada","1993","42062.9656157836"
"Canada","1992","41419.5082227723"
"Canada","1991","41043.4703948189"
"Canada","1990","42217.1935021083"
"Croatia","2015","1727.57454516438"
"Croatia","2014","1624.92316264627"
"Croatia","2013","1714.45849577508"
"Croatia","2012","2231.85089249057"
"Croatia","2011","2379.22944269753"
"Croatia","2010","2322.33155719047"
"Croatia","2009","2249.18197455675"
"Croatia","2008","2479.92607725307"
"Croatia","2007","2439.09287065071"
"Croatia","2006","2348.66789334154"
"Croatia","2005","2407.92937511782"
"Croatia","2004","2454.11289580932"
"Croatia","2003","2195.23348790661"
"Croatia","2002","2294.30691075537"
"Croatia","2001","2394.73861807824"
"Croatia","2000","2418.7686413815"
"Croatia","1999","2300.27104815989"
"Croatia","1998","2083.13061380532"
"Croatia","1997","2436.23091112305"
"Croatia","1996","2248.42446140846"
"Croatia","1995","2243.31382892337"
"Croatia","1994","2322.04888121514"
"Croatia","1993","2292.12093263666"
"Croatia","1992","2673.45977900529"
"Croatia","1991","2618.52476304973"
"Croatia","1990","2768.74496027887"
"Cyprus","2015","334.98151094"
"Cyprus","2014","317.6911844"
"Cyprus","2013","324.0402383"
"Cyprus","2012","351.3235091"
"Cyprus","2011","358.6724573"
"Cyprus","2010","374.2400965"
"Cyprus","2009","355.2594335"
"Cyprus","2008","357.0938917"
"Cyprus","2007","367.8730583"
"Cyprus","2006","374.8940873"
"Cyprus","2005","357.8043833"
"Cyprus","2004","384.2483073"
"Cyprus","2003","392.973494"
"Cyprus","2002","394.889932"
"Cyprus","2001","393.333478"
"Cyprus","2000","361.823256"
"Cyprus","1999","364.93229"
"Cyprus","1998","378.325006"
"Cyprus","1997","352.06316"
"Cyprus","1996","363.427688"
"Cyprus","1995","397.406244"
"Cyprus","1994","350.724842"
"Cyprus","1993","362.0005064"
"Cyprus","1992","341.4843984"
"Cyprus","1991","308.8912444"
"Cyprus","1990","308.9213424"
"Czech Republic","2015","6112.72557147091"
"Czech Republic","2014","6081.59970644024"
"Czech Republic","2013","5891.47206832139"
"Czech Republic","2012","5849.25932501529"
"Czech Republic","2011","5936.66078857607"
"Czech Republic","2010","5746.66082051376"
"Czech Republic","2009","5957.57424033022"
"Czech Republic","2008","6389.05843215935"
"Czech Republic","2007","6273.12986917058"
"Czech Republic","2006","6288.47338355926"
"Czech Republic","2005","6495.4386181635"
"Czech Republic","2004","6709.74588452031"
"Czech Republic","2003","6250.79142811457"
"Czech Republic","2002","6622.85790068424"
"Czech Republic","2001","6911.71678490716"
"Czech Republic","2000","6829.79454093967"
"Czech Republic","1999","6985.74514896778"
"Czech Republic","1998","7119.89269325895"
"Czech Republic","1997","7250.61845682899"
"Czech Republic","1996","7272.24687757304"
