"Country or Area","Year","Value"
"Austria","2015","13.459"
"Austria","2014","10.56252"
"Austria","2013","9.7524"
"Austria","2012","8.56388"
"Austria","2011","4.1022"
"Austria","2010","4.11596"
"Austria","2009","4.5408"
"Austria","2008","53.47136"
"Austria","2007","59.3916"
"Austria","2006","32.7316"
"Austria","2005","28.1564"
"Austria","2004","26.5396"
"Austria","2003","21.555384"
"Austria","2002","10.5092"
"Austria","2001","10.5092"
"Austria","2000","10.5092"
"Austria","1999","8.2366938775"
"Austria","1998","9.4306036363"
"Austria","1997","15.52644"
"Austria","1996","7.92576"
"Austria","1995","6.43968"
"Austria","1994","0.75852"
"Belgium","2015","0.84968"
"Belgium","2014","0.68972"
"Belgium","2013","1.24184"
"Belgium","2012","1.118"
"Belgium","2011","2.47508"
"Belgium","2010","1.3244"
"Belgium","2009","0.5676"
"Belgium","2008","0.6708"
"Canada","2015","0.151044896"
"Canada","2014","0.151044896"
"Canada","2013","0.151044896"
"Canada","2012","0.151044896"
"Canada","2011","0.151044896"
"Canada","2010","0.151044896"
"Canada","2009","0.15971535872"
"Canada","2008","0.16838582128"
"Canada","2007","0.177056284"
"Canada","2006","0.18572674672"
"Canada","2005","0.19439720928"
"Canada","2004","0.203067672"
"Canada","2003","0.21173813472"
"Canada","2002","0.22040859728"
"Canada","2001","0.22907906"
"Canada","2000","0.23774952272"
"Canada","1999","0.24641998528"
"Canada","1998","0.255090448"
"Canada","1997","0.26376091072"
"Canada","1996","0.27243137328"
"Canada","1995","0.281101836"
"Canada","1994","0.28977229872"
"Canada","1993","0.29844276128"
"Canada","1992","0.307113224"
"Canada","1991","0.31578368672"
"Canada","1990","0.32445414928"
"Czech Republic","2015","2.2876"
"Czech Republic","2014","2.35296"
"Czech Republic","2013","3.82356"
"Czech Republic","2012","1.7974"
"European Union","2015","69.184505435"
"European Union","2014","74.339224081"
"European Union","2013","68.492991964"
"European Union","2012","93.129038443"
"European Union","2011","127.22133417"
"European Union","2010","119.44619116"
"European Union","2009","77.369604336"
"European Union","2008","149.15063242"
"European Union","2007","163.03676749"
"European Union","2006","141.02342693"
"European Union","2005","155.96544641"
"European Union","2004","132.42527175"
