"Country or Area","Year","Value"
"Australia","2015","131.448753509568"
"Australia","2014","129.605353985928"
"Australia","2013","128.94460365186"
"Australia","2012","127.552168127148"
"Australia","2011","125.001944761548"
"Australia","2010","121.031653711284"
"Australia","2009","119.451096104772"
"Australia","2008","151.109712677652"
"Australia","2007","162.21841079664"
"Australia","2006","172.51388695254"
"Australia","2005","182.064018996168"
"Australia","2004","207.75946142286"
"Australia","2003","206.28774561822"
"Australia","2002","202.483414806024"
"Australia","2001","196.53435962778"
"Australia","2000","190.65193539366"
"Australia","1999","196.067201001804"
"Australia","1998","223.318513462452"
"Australia","1997","248.476247527092"
"Australia","1996","269.652210274296"
"Australia","1995","302.30798300106"
"Australia","1994","282.640896062112"
"Australia","1993","264.759156257172"
"Australia","1992","246.858848754444"
"Australia","1991","228.944833597368"
"Australia","1990","211.018511442384"
"Austria","2015","309.353227502328"
"Austria","2014","312.959664632664"
"Austria","2013","304.869004501608"
"Austria","2012","311.879243598348"
"Austria","2011","307.348685361924"
"Austria","2010","335.87064445278"
"Austria","2009","341.678631780648"
"Austria","2008","373.434481907496"
"Austria","2007","367.006656851244"
"Austria","2006","453.462446283864"
"Austria","2005","493.62501427176"
"Austria","2004","484.006603106436"
"Austria","2003","549.44274524346"
"Austria","2002","613.300884015108"
"Austria","2001","629.325706574268"
"Austria","2000","574.528063982544"
"Austria","1999","676.368455025876"
"Austria","1998","869.88236663436"
"Austria","1997","1086.39697412542"
"Austria","1996","1176.89967521624"
"Austria","1995","1100.10771326827"
"Austria","1994","926.173535760612"
"Austria","1993","744.00313185318"
"Austria","1992","656.27178714552"
"Austria","1991","614.14044243786"
"Austria","1990","470.6083777302"
"Belarus","2015","2.515068"
"Belarus","2014","2.426946"
"Belarus","2013","2.5108728"
"Belarus","2012","2.460006"
"Belarus","2011","2.303598"
"Belarus","2010","2.097258"
"Belarus","2009","1.4529414"
"Belarus","2008","1.25343"
"Belarus","2007","0.541386"
"Belarus","2006","0.445968"
"Belarus","2005","0.3534"
"Belarus","2004","0.244644"
"Belarus","2003","0.16473"
"Belarus","2002","0.118104"
"Belarus","2001","0.11058"
"Belarus","2000","0.0969"
"Belarus","1999","0.088692"
"Belarus","1998","0.066234"
"Belarus","1997","0.057342"
"Belarus","1996","0.011172"
"Belarus","1995","0.00171"
"Belgium","2015","91.362907564308"
"Belgium","2014","95.218302166452"
"Belgium","2013","115.75442105304"
"Belgium","2012","110.428737472536"
"Belgium","2011","112.090345100676"
"Belgium","2010","102.026113985556"
"Belgium","2009","93.308721316284"
"Belgium","2008","86.883367131372"
"Belgium","2007","78.86347062"
"Belgium","2006","76.550394448644"
"Belgium","2005","90.687598278384"
"Belgium","2004","90.197697826608"
"Belgium","2003","101.928296529972"
"Belgium","2002","116.170836594324"
"Belgium","2001","139.21999334976"
"Belgium","2000","144.063813895272"
"Belgium","1999","153.662106212916"
"Belgium","1998","295.948628729232"
"Belgium","1997","538.848666822564"
"Belgium","1996","2059.62390688042"
"Belgium","1995","2139.73317111443"
"Belgium","1994","1930.80644601222"
"Belgium","1993","1588.53284601222"
"Belgium","1992","1652.69204601222"
"Belgium","1991","1492.84124601222"
"Belgium","1990","1575.10364601222"
"Bulgaria","2015","18.405003776928"
"Bulgaria","2014","16.877300662104"
"Bulgaria","2013","20.419376492784"
"Bulgaria","2012","20.971086027948"
"Bulgaria","2011","14.1887652306"
"Bulgaria","2010","12.467812445988"
"Bulgaria","2009","9.51519974388"
"Bulgaria","2008","9.158036327088"
"Bulgaria","2007","8.81427942954"
"Bulgaria","2006","8.483425822404"
"Bulgaria","2005","8.164991166876"
"Bulgaria","2004","8.133666290652"
"Bulgaria","2003","7.687775322048"
"Bulgaria","2002","7.266328281552"
"Bulgaria","2001","6.867985143396"
"Bulgaria","2000","6.491479341588"
"Bulgaria","1999","6.135613744344"
"Bulgaria","1998","5.799256847172"
"Bulgaria","1997","5.481339175032"
"Bulgaria","1996","5.180849881944"
"Bulgaria","1995","4.896833536644"
"Bulgaria","1994","4.628387085852"
"Bulgaria","1993","4.374656980788"
"Bulgaria","1992","4.134836465796"
"Bulgaria","1991","3.908163011292"
"Bulgaria","1990","3.693915889668"
"Canada","2015","423.8966024715"
"Canada","2014","362.631619252044"
"Canada","2013","437.98115496006"
"Canada","2012","439.633086776184"
"Canada","2011","395.178348331044"
"Canada","2010","440.421343627104"
"Canada","2009","373.869079293732"
"Canada","2008","644.345044990212"
"Canada","2007","726.19307674164"
"Canada","2006","1526.73967628596"
"Canada","2005","1417.36185603715"
"Canada","2004","2339.90561570986"
"Canada","2003","2651.43503415668"
"Canada","2002","3015.81387045521"
"Canada","2001","2557.10564303854"
"Canada","2000","2902.96349562637"
"Canada","1999","2410.10293358714"
"Canada","1998","2357.48585480026"
"Canada","1997","1827.63430976918"
"Canada","1996","1768.64860412124"
"Canada","1995","2275.1600333752"
"Canada","1994","2441.74421815087"
"Canada","1993","2373.5474573055"
"Canada","1992","2557.11664866899"
"Canada","1991","3685.24324099416"
"Canada","1990","3225.92610471538"
"Croatia","2015","5.2646112"
"Croatia","2014","6.81383016"
"Croatia","2013","6.1008012"
"Croatia","2012","9.1768632"
"Croatia","2011","9.3654192"
"Croatia","2010","8.9507328"
"Croatia","2009","8.02796094"
"Croatia","2008","11.976086365836"
"Croatia","2007","13.049277553896"
"Croatia","2006","13.0082322"
"Croatia","2005","13.0268712"
"Croatia","2004","12.5668812"
"Croatia","2003","12.2776062"
"Croatia","2002","12.0117012"
"Croatia","2001","11.6927862"
"Croatia","2000","11.6218212"
"Croatia","1999","11.9926062"
"Croatia","1998","11.9892432"
"Croatia","1997","11.4272232"
"Croatia","1996","11.5695522"
"Croatia","1995","11.1206772"
"Croatia","1994","10.6438722"
"Croatia","1993","10.5307272"
"Croatia","1992","10.4170122"
"Croatia","1991","10.3326522"
"Croatia","1990","10.4500722"
"Cyprus","2015","0.148329618"
"Cyprus","2014","0.148329618"
"Cyprus","2013","0.1502559672"
"Cyprus","2012","0.1575139824"
"Cyprus","2011","0.152255094"
"Cyprus","2010","0.1507113288"
"Cyprus","2009","0.1611230628"
"Cyprus","2008","0.1525327524"
"Cyprus","2007","0.1384796304"
"Cyprus","2006","0.1226116512"
"Cyprus","2005","0.116017458"
"Cyprus","2004","0.1001253108"
"Cyprus","2003","0.0889859832"
"Cyprus","2002","0.0820897128"
"Cyprus","2001","0.076551114"
"Cyprus","2000","0.0755001024"
"Cyprus","1999","0.0651495636"
"Cyprus","1998","0.0673398684"
"Cyprus","1997","0.0695318832"
"Cyprus","1996","0.0659599212"
"Cyprus","1995","0.0581498268"
"Cyprus","1994","0.0503102976"
"Cyprus","1993","0.0385006272"
"Cyprus","1992","0.0342467856"
"Cyprus","1991","0.03008802"
"Cyprus","1990","0.0257666904"
"Czech Republic","2015","90.551815400976"
"Czech Republic","2014","94.733950372608"
"Czech Republic","2013","92.347615214364"
"Czech Republic","2012","89.6318302329"
"Czech Republic","2011","85.385447276472"
"Czech Republic","2010","80.227260734292"
"Czech Republic","2009","96.06354125184"
"Czech Republic","2008","93.290490084936"
"Czech Republic","2007","93.406181394636"
"Czech Republic","2006","108.282862271928"
"Czech Republic","2005","111.181747579332"
"Czech Republic","2004","119.999244634932"
"Czech Republic","2003","144.192241983336"
"Czech Republic","2002","120.79738465224"
"Czech Republic","2001","98.406771140028"
"Czech Republic","2000","107.987928531264"
"Czech Republic","1999","95.526017647764"
"Czech Republic","1998","94.564956597732"
"Czech Republic","1997","95.830932370692"
"Czech Republic","1996","98.055286980252"
"Czech Republic","1995","88.473965309772"
"Czech Republic","1994","87.479643720516"
"Czech Republic","1993","86.404372716228"
"Czech Republic","1992","85.225334264844"
"Czech Republic","1991","83.938657136124"
"Czech Republic","1990","84.102632361504"
"Denmark","2015","103.332353058048"
"Denmark","2014","132.959115148452"
"Denmark","2013","130.78658813112"
"Denmark","2012","112.183948144752"
"Denmark","2011","69.541786092264"
"Denmark","2010","35.926658706"
"Denmark","2009","34.368468244908"
"Denmark","2008","29.46004887048"
