,median,mean,variance,max,min,year
0,,,,,,1955
1,,,,,,1955
2,,,,,,1955
3,,,,,,1955
4,,,,,,1955
5,,,,,,1955
6,,,,,,1955
7,,,,,,1955
8,,,,,,1955
9,,,,,,1955
10,,,,,,1955
11,,,,,,1955
12,,,,,,1955
13,,,,,,1955
14,,,,,,1955
15,,,,,,1955
16,,,,,,1955
17,,,,,,1955
18,,,,,,1955
19,,,,,,1955
20,,,,,,1955
21,,,,,,1955
22,,,,,,1955
23,,,,,,1955
24,,,,,,1955
25,,,,,,1955
26,,,,,,1955
27,,,,,,1955
28,,,,,,1955
29,,,,,,1955
30,,,,,,1955
31,,,,,,1955
32,,,,,,1955
33,,,,,,1955
34,,,,,,1955
35,,,,,,1955
36,,,,,,1955
37,,,,,,1955
38,,,,,,1955
39,,,,,,1955
40,,,,,,1955
41,,,,,,1955
42,,,,,,1955
43,,,,,,1955
44,,,,,,1955
45,,,,,,1955
46,,,,,,1955
47,,,,,,1955
48,,,,,,1955
49,,,,,,1955
50,,,,,,1955
51,,,,,,1955
52,,,,,,1955
53,,,,,,1955
54,,,,,,1955
55,,,,,,1955
56,,,,,,1955
57,,,,,,1955
58,,,,,,1955
59,,,,,,1955
60,,,,,,1955
61,,,,,,1955
62,,,,,,1955
63,,,,,,1955
64,,,,,,1955
65,,,,,,1955
66,,,,,,1955
67,,,,,,1955
68,,,,,,1955
69,,,,,,1955
70,,,,,,1955
71,,,,,,1955
72,,,,,,1955
73,,,,,,1955
74,,,,,,1955
75,,,,,,1955
76,,,,,,1955
77,,,,,,1955
78,,,,,,1955
79,,,,,,1955
80,,,,,,1955
81,,,,,,1955
82,,,,,,1955
83,,,,,,1955
84,,,,,,1955
85,,,,,,1955
86,,,,,,1955
87,,,,,,1955
88,,,,,,1955
89,,,,,,1955
90,,,,,,1956
91,,,,,,1956
92,,,,,,1956
93,,,,,,1956
94,,,,,,1956
95,,,,,,1956
96,,,,,,1956
97,,,,,,1956
98,,,,,,1956
99,,,,,,1956
100,,,,,,1956
101,,,,,,1956
102,,,,,,1956
103,,,,,,1956
104,,,,,,1956
105,,,,,,1956
106,,,,,,1956
107,,,,,,1956
108,,,,,,1956
109,,,,,,1956
110,,,,,,1956
111,,,,,,1956
112,,,,,,1956
113,,,,,,1956
114,,,,,,1956
115,,,,,,1956
116,,,,,,1956
117,,,,,,1956
118,,,,,,1956
119,,,,,,1956
120,,,,,,1956
121,,,,,,1956
122,,,,,,1956
123,,,,,,1956
124,,,,,,1956
125,,,,,,1956
126,,,,,,1956
127,,,,,,1956
128,,,,,,1956
129,,,,,,1956
130,,,,,,1956
131,,,,,,1956
132,,,,,,1956
133,,,,,,1956
134,,,,,,1956
135,,,,,,1956
136,,,,,,1956
137,,,,,,1956
138,,,,,,1956
139,,,,,,1956
140,,,,,,1956
141,,,,,,1956
142,,,,,,1956
143,,,,,,1956
144,,,,,,1956
145,,,,,,1956
146,,,,,,1956
147,,,,,,1956
148,,,,,,1956
149,,,,,,1956
150,,,,,,1956
151,,,,,,1956
152,,,,,,1956
153,,,,,,1956
154,,,,,,1956
155,,,,,,1956
156,,,,,,1956
157,,,,,,1956
158,,,,,,1956
159,,,,,,1956
160,,,,,,1956
161,,,,,,1956
162,,,,,,1956
163,,,,,,1956
164,,,,,,1956
165,,,,,,1956
166,,,,,,1956
167,,,,,,1956
168,,,,,,1956
169,,,,,,1956
170,,,,,,1956
171,,,,,,1956
172,,,,,,1956
173,,,,,,1956
174,,,,,,1956
175,,,,,,1956
176,,,,,,1956
177,,,,,,1956
178,,,,,,1956
179,,,,,,1956
180,,,,,,1957
181,,,,,,1957
182,,,,,,1957
183,,,,,,1957
184,,,,,,1957
185,,,,,,1957
186,,,,,,1957
187,,,,,,1957
188,,,,,,1957
189,,,,,,1957
190,,,,,,1957
191,,,,,,1957
192,,,,,,1957
193,,,,,,1957
194,,,,,,1957
195,,,,,,1957
196,,,,,,1957
197,,,,,,1957
198,,,,,,1957
199,,,,,,1957
200,,,,,,1957
201,,,,,,1957
202,,,,,,1957
203,,,,,,1957
204,,,,,,1957
205,,,,,,1957
206,,,,,,1957
207,,,,,,1957
208,,,,,,1957
209,,,,,,1957
210,,,,,,1957
211,,,,,,1957
212,,,,,,1957
213,,,,,,1957
214,,,,,,1957
215,,,,,,1957
216,,,,,,1957
217,,,,,,1957
218,,,,,,1957
219,,,,,,1957
220,,,,,,1957
221,,,,,,1957
222,,,,,,1957
223,,,,,,1957
224,,,,,,1957
225,,,,,,1957
226,,,,,,1957
227,,,,,,1957
228,,,,,,1957
229,,,,,,1957
230,,,,,,1957
231,,,,,,1957
232,,,,,,1957
233,,,,,,1957
234,,,,,,1957
235,,,,,,1957
236,,,,,,1957
237,,,,,,1957
238,,,,,,1957
239,,,,,,1957
240,,,,,,1957
241,,,,,,1957
242,,,,,,1957
243,,,,,,1957
244,,,,,,1957
245,,,,,,1957
246,,,,,,1957
247,,,,,,1957
248,,,,,,1957
249,,,,,,1957
250,,,,,,1957
251,,,,,,1957
252,,,,,,1957
253,,,,,,1957
254,,,,,,1957
255,,,,,,1957
256,,,,,,1957
257,,,,,,1957
258,,,,,,1957
259,,,,,,1957
260,,,,,,1957
261,,,,,,1957
262,,,,,,1957
263,,,,,,1957
264,,,,,,1957
265,,,,,,1957
266,,,,,,1957
267,,,,,,1957
268,,,,,,1957
269,,,,,,1957
270,,,,,,1958
271,,,,,,1958
272,,,,,,1958
273,,,,,,1958
274,,,,,,1958
275,,,,,,1958
276,,,,,,1958
277,,,,,,1958
278,,,,,,1958
279,,,,,,1958
280,,,,,,1958
281,,,,,,1958
282,,,,,,1958
283,,,,,,1958
284,,,,,,1958
285,,,,,,1958
286,,,,,,1958
287,,,,,,1958
288,,,,,,1958
289,,,,,,1958
290,,,,,,1958
291,,,,,,1958
292,,,,,,1958
293,,,,,,1958
294,,,,,,1958
295,,,,,,1958
296,,,,,,1958
297,,,,,,1958
298,,,,,,1958
299,,,,,,1958
300,,,,,,1958
301,,,,,,1958
302,,,,,,1958
303,,,,,,1958
304,,,,,,1958
305,,,,,,1958
306,,,,,,1958
307,,,,,,1958
308,,,,,,1958
309,,,,,,1958
310,,,,,,1958
311,,,,,,1958
312,,,,,,1958
313,,,,,,1958
314,,,,,,1958
315,,,,,,1958
316,,,,,,1958
317,,,,,,1958
318,,,,,,1958
319,,,,,,1958
320,,,,,,1958
321,,,,,,1958
322,,,,,,1958
323,,,,,,1958
324,,,,,,1958
325,,,,,,1958
326,,,,,,1958
327,,,,,,1958
328,,,,,,1958
329,,,,,,1958
330,,,,,,1958
331,,,,,,1958
332,,,,,,1958
333,,,,,,1958
334,,,,,,1958
335,,,,,,1958
336,,,,,,1958
337,,,,,,1958
338,,,,,,1958
339,,,,,,1958
340,,,,,,1958
341,,,,,,1958
342,,,,,,1958
343,,,,,,1958
344,,,,,,1958
345,,,,,,1958
346,,,,,,1958
347,,,,,,1958
348,,,,,,1958
349,,,,,,1958
350,,,,,,1958
351,,,,,,1958
352,,,,,,1958
353,,,,,,1958
354,,,,,,1958
355,,,,,,1958
356,,,,,,1958
357,,,,,,1958
358,,,,,,1958
359,,,,,,1958
360,,,,,,1959
361,,,,,,1959
362,,,,,,1959
363,,,,,,1959
364,,,,,,1959
365,,,,,,1959
366,,,,,,1959
367,,,,,,1959
368,,,,,,1959
369,,,,,,1959
370,,,,,,1959
371,,,,,,1959
372,,,,,,1959
373,,,,,,1959
374,,,,,,1959
375,,,,,,1959
376,,,,,,1959
377,,,,,,1959
378,,,,,,1959
379,,,,,,1959
380,,,,,,1959
381,,,,,,1959
382,,,,,,1959
383,,,,,,1959
384,,,,,,1959
385,,,,,,1959
386,,,,,,1959
387,,,,,,1959
388,,,,,,1959
389,,,,,,1959
390,,,,,,1959
391,,,,,,1959
392,,,,,,1959
393,,,,,,1959
394,,,,,,1959
395,,,,,,1959
396,,,,,,1959
397,,,,,,1959
398,,,,,,1959
399,,,,,,1959
400,,,,,,1959
401,,,,,,1959
402,,,,,,1959
403,,,,,,1959
404,,,,,,1959
405,,,,,,1959
406,,,,,,1959
407,,,,,,1959
408,,,,,,1959
409,,,,,,1959
410,,,,,,1959
411,,,,,,1959
412,,,,,,1959
413,,,,,,1959
414,,,,,,1959
415,,,,,,1959
416,,,,,,1959
417,,,,,,1959
418,,,,,,1959
419,,,,,,1959
420,,,,,,1959
421,,,,,,1959
422,,,,,,1959
423,,,,,,1959
424,,,,,,1959
425,,,,,,1959
426,,,,,,1959
427,,,,,,1959
428,,,,,,1959
429,,,,,,1959
430,,,,,,1959
431,,,,,,1959
432,,,,,,1959
433,,,,,,1959
434,,,,,,1959
435,,,,,,1959
436,,,,,,1959
437,,,,,,1959
438,,,,,,1959
439,,,,,,1959
440,,,,,,1959
441,,,,,,1959
442,,,,,,1959
443,,,,,,1959
444,,,,,,1959
445,,,,,,1959
446,,,,,,1959
447,,,,,,1959
448,,,,,,1959
449,,,,,,1959
450,,,,,,1960
451,,,,,,1960
452,,,,,,1960
453,,,,,,1960
454,,,,,,1960
455,,,,,,1960
456,,,,,,1960
457,,,,,,1960
458,,,,,,1960
459,,,,,,1960
460,,,,,,1960
461,,,,,,1960
462,,,,,,1960
463,,,,,,1960
464,,,,,,1960
465,,,,,,1960
466,,,,,,1960
467,,,,,,1960
468,,,,,,1960
469,,,,,,1960
470,,,,,,1960
471,,,,,,1960
472,,,,,,1960
473,,,,,,1960
474,,,,,,1960
475,,,,,,1960
476,,,,,,1960
477,,,,,,1960
478,,,,,,1960
479,,,,,,1960
480,,,,,,1960
481,,,,,,1960
482,,,,,,1960
483,,,,,,1960
484,,,,,,1960
485,,,,,,1960
486,,,,,,1960
487,,,,,,1960
488,,,,,,1960
489,,,,,,1960
490,,,,,,1960
491,,,,,,1960
492,,,,,,1960
493,,,,,,1960
494,,,,,,1960
495,,,,,,1960
496,,,,,,1960
497,,,,,,1960
498,,,,,,1960
499,,,,,,1960
500,,,,,,1960
501,,,,,,1960
502,,,,,,1960
503,,,,,,1960
504,,,,,,1960
505,,,,,,1960
506,,,,,,1960
507,,,,,,1960
508,,,,,,1960
509,,,,,,1960
510,,,,,,1960
511,,,,,,1960
512,,,,,,1960
513,,,,,,1960
514,,,,,,1960
515,,,,,,1960
516,,,,,,1960
517,,,,,,1960
518,,,,,,1960
519,,,,,,1960
520,,,,,,1960
521,,,,,,1960
522,,,,,,1960
523,,,,,,1960
524,,,,,,1960
525,,,,,,1960
526,,,,,,1960
527,,,,,,1960
528,,,,,,1960
529,,,,,,1960
530,,,,,,1960
531,,,,,,1960
532,,,,,,1960
533,,,,,,1960
534,,,,,,1960
535,,,,,,1960
536,,,,,,1960
537,,,,,,1960
538,,,,,,1960
539,,,,,,1960
540,,,,,,1961
541,,,,,,1961
542,,,,,,1961
543,,,,,,1961
544,,,,,,1961
545,,,,,,1961
546,,,,,,1961
547,,,,,,1961
548,,,,,,1961
549,,,,,,1961
550,,,,,,1961
551,,,,,,1961
552,,,,,,1961
553,,,,,,1961
554,,,,,,1961
555,,,,,,1961
556,,,,,,1961
557,,,,,,1961
558,,,,,,1961
559,,,,,,1961
560,,,,,,1961
561,,,,,,1961
562,,,,,,1961
563,,,,,,1961
564,,,,,,1961
565,,,,,,1961
566,,,,,,1961
567,,,,,,1961
568,,,,,,1961
569,,,,,,1961
570,,,,,,1961
571,,,,,,1961
572,,,,,,1961
573,,,,,,1961
574,,,,,,1961
575,,,,,,1961
576,,,,,,1961
577,,,,,,1961
578,,,,,,1961
579,,,,,,1961
580,,,,,,1961
581,,,,,,1961
582,,,,,,1961
583,,,,,,1961
584,,,,,,1961
585,,,,,,1961
586,,,,,,1961
587,,,,,,1961
588,,,,,,1961
589,,,,,,1961
590,,,,,,1961
591,,,,,,1961
592,,,,,,1961
593,,,,,,1961
594,,,,,,1961
595,,,,,,1961
596,,,,,,1961
597,,,,,,1961
598,,,,,,1961
599,,,,,,1961
600,,,,,,1961
601,,,,,,1961
602,,,,,,1961
603,,,,,,1961
604,,,,,,1961
605,,,,,,1961
606,,,,,,1961
607,,,,,,1961
608,,,,,,1961
609,,,,,,1961
610,,,,,,1961
611,,,,,,1961
612,,,,,,1961
613,,,,,,1961
614,,,,,,1961
615,,,,,,1961
616,,,,,,1961
617,,,,,,1961
618,,,,,,1961
619,,,,,,1961
620,,,,,,1961
621,,,,,,1961
622,,,,,,1961
623,,,,,,1961
624,,,,,,1961
625,,,,,,1961
626,,,,,,1961
627,,,,,,1961
628,,,,,,1961
629,,,,,,1961
630,,,,,,1962
631,,,,,,1962
632,,,,,,1962
633,,,,,,1962
634,,,,,,1962
635,,,,,,1962
636,,,,,,1962
637,,,,,,1962
638,,,,,,1962
639,,,,,,1962
640,,,,,,1962
641,,,,,,1962
642,,,,,,1962
643,,,,,,1962
644,,,,,,1962
645,,,,,,1962
646,,,,,,1962
647,,,,,,1962
648,,,,,,1962
649,,,,,,1962
650,,,,,,1962
651,,,,,,1962
652,,,,,,1962
653,,,,,,1962
654,,,,,,1962
655,,,,,,1962
656,,,,,,1962
657,,,,,,1962
658,,,,,,1962
659,,,,,,1962
660,,,,,,1962
661,,,,,,1962
662,,,,,,1962
663,,,,,,1962
664,,,,,,1962
665,,,,,,1962
666,,,,,,1962
667,,,,,,1962
668,,,,,,1962
669,,,,,,1962
670,,,,,,1962
671,,,,,,1962
672,,,,,,1962
673,,,,,,1962
674,,,,,,1962
